time,temperature,humidity,pressure
2014-02-18T00:50:00,2,93,1014
2014-02-18T17:00:00,6,76,1010
2014-02-18T15:20:00,6,81,1010
2014-02-18T02:20:00,2,93,1014
2014-02-18T06:20:00,4,87,1013
2014-02-18T06:00:00,3,89,1014
2014-02-18T22:50:00,5,87,1007
2014-02-18T06:50:00,4,93,1013
2014-02-18T01:00:00,2,87,1014
2014-02-18T13:00:00,6,82,1012
2014-02-18T01:20:00,2,93,1014
2014-02-18T13:20:00,6,87,1011
2014-02-18T13:50:00,6,81,1011
2014-02-18T22:00:00,5,80,1008
2014-02-18T23:50:00,5,87,1007
2014-02-18T19:00:00,5,78,1009
2014-02-18T23:00:00,5,83,1008
2014-02-18T09:50:00,5,93,1012
2014-02-18T23:20:00,5,87,1007
2014-02-18T00:20:00,2,87,1014
2014-02-19T17:50:00,7,81,1006
2014-02-19T05:20:00,5,93,1005
2014-02-19T01:20:00,5,87,1007
2014-02-19T01:00:00,5,86,1007
2014-02-19T21:50:00,6,87,1007
2014-02-19T01:50:00,5,87,1007
2014-02-19T06:00:00,5,86,1006
2014-02-19T14:00:00,8,80,1006
2014-02-19T06:20:00,5,93,1005
2014-02-19T14:20:00,8,81,1006
2014-02-19T14:50:00,8,81,1006
2014-02-19T22:50:00,5,93,1007
2014-02-19T19:00:00,6,80,1007
2014-02-19T20:50:00,6,87,1007
2014-02-19T19:20:00,6,87,1007
2014-02-19T20:00:00,6,83,1007
2014-02-19T17:00:00,7,75,1007
2014-02-19T20:20:00,6,87,1007
2014-02-19T07:20:00,5,93,1005
2014-02-19T13:20:00,7,93,1006
2014-02-19T02:50:00,5,93,1006
2014-02-19T12:50:00,7,87,1006
2014-02-19T02:00:00,5,85,1007
2014-02-19T02:20:00,5,87,1006
2014-02-19T04:50:00,5,93,1005
2014-02-19T00:50:00,5,87,1007
2014-02-19T00:20:00,5,87,1007
2014-02-19T06:50:00,5,93,1005
2014-02-19T00:00:00,5,81,1008
2014-02-19T21:00:00,6,84,1008
2014-02-19T10:50:00,6,93,1006
2014-02-19T07:00:00,5,87,1006
2014-02-19T18:50:00,6,87,1007
2014-02-19T21:20:00,6,87,1007
2014-02-19T12:20:00,7,87,1006
2014-02-19T23:20:00,5,87,1007
2014-02-19T16:20:00,8,81,1006
2014-02-19T16:00:00,8,74,1006
2014-02-19T05:50:00,5,93,1005
2014-02-19T16:50:00,7,81,1006
2014-02-19T11:00:00,6,88,1006
2014-02-19T03:00:00,5,87,1007
2014-02-19T11:20:00,6,93,1006
2014-02-19T03:20:00,5,93,1006
2014-02-19T03:50:00,5,93,1006
2014-02-19T18:00:00,7,78,1007
2014-02-19T19:50:00,6,87,1007
2014-02-19T10:20:00,6,93,1006
2014-02-19T04:20:00,5,93,1006
2014-02-19T15:50:00,8,81,1006
2014-02-19T04:00:00,5,89,1006
2014-02-19T23:00:00,5,85,1008
2014-02-19T15:00:00,8,74,1006
2014-02-19T23:50:00,5,87,1007
2014-02-19T15:20:00,8,81,1006
2014-02-19T12:00:00,6,90,1006
2014-02-19T05:00:00,5,89,1006
2014-02-19T22:20:00,6,87,1008
2014-02-19T13:00:00,7,88,1006
2014-02-19T22:00:00,6,87,1008
2014-02-19T13:50:00,8,87,1006
2014-02-19T09:20:00,6,87,1006
2014-02-19T09:00:00,5,88,1006
2014-02-19T17:20:00,7,81,1006
2014-02-19T11:50:00,6,93,1006
2014-02-19T09:50:00,6,93,1006
2014-02-19T07:50:00,5,93,1005
2014-02-19T18:20:00,6,87,1007
2014-02-19T08:50:00,5,93,1006
2014-02-19T08:20:00,5,93,1005
2014-02-19T10:00:00,6,90,1006
2014-02-19T08:00:00,5,86,1006
2014-02-20T08:20:00,5,87,1007
2014-02-20T11:50:00,6,87,1007
2014-02-20T08:00:00,4,88,1008
2014-02-20T11:00:00,6,85,1008
2014-02-20T13:00:00,6,85,1007
2014-02-20T11:20:00,6,87,1007
2014-02-20T03:20:00,5,87,1008
2014-02-20T06:50:00,5,87,1007
2014-02-20T06:00:00,5,86,1008
2014-02-20T01:20:00,5,93,1007
2014-02-20T06:20:00,5,93,1007
2014-02-20T05:20:00,5,93,1007
2014-02-20T05:00:00,5,90,1008
2014-02-20T13:20:00,6,87,1006
2014-02-20T15:50:00,6,93,1004
2014-02-20T05:50:00,5,93,1007
2014-02-20T17:50:00,6,87,1003
2014-02-20T04:50:00,5,93,1007
2014-02-20T04:20:00,5,93,1007
2014-02-20T14:00:00,6,85,1006
2014-02-20T04:00:00,5,90,1008
2014-02-20T23:00:00,6,86,1001
2014-02-20T09:20:00,5,93,1008
2014-02-20T00:50:00,5,87,1007
2014-02-20T09:00:00,5,90,1008
2014-02-20T17:20:00,6,87,1003
2014-02-20T20:00:00,6,76,1003
2014-02-20T10:00:00,5,89,1008
2014-02-20T20:20:00,7,81,1002
2014-02-20T10:20:00,6,93,1007
2014-02-20T10:50:00,6,93,1007
2014-02-20T21:50:00,6,87,1001
2014-02-20T01:50:00,5,93,1007
2014-02-20T07:00:00,5,89,1008
2014-02-20T17:00:00,6,82,1004
2014-02-20T07:20:00,4,93,1007
2014-02-20T07:50:00,5,87,1007
2014-02-20T02:50:00,5,93,1008
2014-02-20T22:00:00,6,83,1001
2014-02-20T21:20:00,6,87,1001
2014-02-20T03:50:00,5,93,1008
2014-02-20T16:50:00,6,87,1004
2014-02-20T08:50:00,5,87,1008
2014-02-20T00:20:00,4,93,1007
2014-02-20T19:50:00,6,87,1002
2014-02-20T00:00:00,4,88,1008
2014-02-20T19:00:00,6,81,1003
